# disorder/μ phi/π evs ...
0	-1	-0.011983	0.011983	0.031689	-0.031689	0.071954	-0.071954	0.072201	-0.072201	-0.14407	0.14407	1.024	-1.024	1.0261	-1.0261	1.0898	-1.0898	1.1005	-1.1005	1.1912	-1.1912	1.2223	-1.2223	1.2486	-1.2486	1.3077	-1.3077	1.3398	-1.3398	1.3654	-1.3654	1.3823	-1.3823	1.4174	-1.4174	1.449	-1.449	1.4555	-1.4555	1.513	-1.513	
0	-0.98	0.03334	-0.03334	0.044493	-0.044493	0.078488	-0.078488	-0.0787	0.0787	-0.1471	0.1471	-1.024	1.024	-1.0261	1.0261	1.0898	-1.0898	1.1005	-1.1005	1.1912	-1.1912	-1.2223	1.2223	1.2486	-1.2486	1.3077	-1.3077	1.3398	-1.3398	1.3654	-1.3654	1.3823	-1.3823	-1.4174	1.4174	-1.449	1.449	-1.4555	1.4555	1.513	-1.513	
0	-0.96	-0.063339	0.063339	0.070016	-0.070016	0.095422	-0.095422	0.09556	-0.09556	0.15585	-0.15585	1.024	-1.024	1.0261	-1.0261	1.0898	-1.0898	1.1005	-1.1005	1.1912	-1.1912	1.2223	-1.2223	1.2486	-1.2486	1.3077	-1.3077	-1.3399	1.3399	1.3654	-1.3654	1.3822	-1.3822	1.4173	-1.4173	1.4489	-1.4489	1.4554	-1.4554	1.513	-1.513	
0	-0.94	0.093985	-0.093985	0.098796	-0.098796	0.11833	-0.11833	-0.11839	0.11839	0.16939	-0.16939	-1.0239	1.0239	1.0261	-1.0261	1.0898	-1.0898	1.1005	-1.1005	1.1912	-1.1912	1.2223	-1.2223	1.2485	-1.2485	1.3076	-1.3076	-1.34	1.34	1.3655	-1.3655	1.3822	-1.3822	1.4172	-1.4172	-1.4488	1.4488	-1.4553	1.4553	1.5131	-1.5131	
0	-0.92	0.12473	-0.12473	0.12859	-0.12859	0.14432	-0.14432	0.14433	-0.14433	-0.18665	0.18665	-1.0239	1.0239	-1.0261	1.0261	1.0898	-1.0898	-1.1006	1.1006	-1.1911	1.1911	-1.2224	1.2224	1.2484	-1.2484	-1.3076	1.3076	-1.3401	1.3401	-1.3656	1.3656	-1.382	1.382	-1.417	1.417	1.4486	-1.4486	-1.4552	1.4552	1.5132	-1.5132	
0	-0.9	0.15543	-0.15543	0.15876	-0.15876	0.17188	-0.17188	0.17195	-0.17195	0.20665	-0.20665	-1.0239	1.0239	-1.0261	1.0261	1.0898	-1.0898	1.1006	-1.1006	-1.1911	1.1911	1.2224	-1.2224	-1.2483	1.2483	1.3075	-1.3075	-1.3402	1.3402	1.3657	-1.3657	1.3819	-1.3819	-1.4168	1.4168	1.4484	-1.4484	-1.4551	1.4551	1.5133	-1.5133	
0	-0.88	0.18602	-0.18602	0.18903	-0.18903	0.20032	-0.20032	0.20044	-0.20044	-0.22861	0.22861	-1.0239	1.0239	1.0261	-1.0261	1.0897	-1.0897	1.1006	-1.1006	-1.191	1.191	-1.2225	1.2225	-1.2482	1.2482	1.3074	-1.3074	-1.3403	1.3403	1.3658	-1.3658	1.3817	-1.3817	1.4165	-1.4165	1.4482	-1.4482	-1.455	1.455	1.5135	-1.5135	
0	-0.86	-0.21646	0.21646	0.21926	-0.21926	0.22921	-0.22921	0.22939	-0.22939	0.25196	-0.25196	-1.0239	1.0239	-1.0261	1.0261	1.0897	-1.0897	1.1006	-1.1006	-1.1909	1.1909	-1.2225	1.2225	1.248	-1.248	1.3073	-1.3073	1.3405	-1.3405	1.366	-1.366	1.3815	-1.3815	1.4162	-1.4162	1.4478	-1.4478	1.4548	-1.4548	1.5137	-1.5137	
0	-0.84	0.2467	-0.2467	0.24938	-0.24938	0.25833	-0.25833	0.25855	-0.25855	0.27627	-0.27627	1.0239	-1.0239	1.0261	-1.0261	1.0897	-1.0897	1.1007	-1.1007	-1.1908	1.1908	-1.2226	1.2226	1.2478	-1.2478	1.3072	-1.3072	1.3408	-1.3408	1.3661	-1.3661	1.3812	-1.3812	-1.4158	1.4158	-1.4475	1.4475	1.4546	-1.4546	1.5139	-1.5139	
0	-0.82	-0.27671	0.27671	0.27933	-0.27933	0.28751	-0.28751	0.28777	-0.28777	0.30124	-0.30124	1.0239	-1.0239	-1.0261	1.0261	1.0897	-1.0897	1.1007	-1.1007	-1.1907	1.1907	-1.2227	1.2227	1.2476	-1.2476	1.3071	-1.3071	1.341	-1.341	1.3663	-1.3663	1.381	-1.381	1.4154	-1.4154	1.4471	-1.4471	-1.4543	1.4543	1.5142	-1.5142	
0	-0.8	-0.30647	0.30647	0.30906	-0.30906	0.31663	-0.31663	0.31694	-0.31694	-0.32665	0.32665	-1.0239	1.0239	-1.0261	1.0261	1.0896	-1.0896	1.1008	-1.1008	-1.1906	1.1906	-1.2228	1.2228	-1.2473	1.2473	1.307	-1.307	-1.3413	1.3413	1.3666	-1.3666	1.3806	-1.3806	1.4149	-1.4149	1.4466	-1.4466	-1.454	1.454	1.5144	-1.5144	
0	-0.78	-0.33594	0.33594	0.33853	-0.33853	0.34561	-0.34561	0.34597	-0.34597	0.35232	-0.35232	1.0239	-1.0239	1.0261	-1.0261	1.0896	-1.0896	1.1008	-1.1008	1.1904	-1.1904	1.2229	-1.2229	1.2471	-1.2471	-1.3068	1.3068	1.3416	-1.3416	1.3668	-1.3668	1.3803	-1.3803	1.4144	-1.4144	1.4461	-1.4461	1.4537	-1.4537	1.5147	-1.5147	
0	-0.76	-0.36509	0.36509	0.3677	-0.3677	-0.3744	0.3744	0.3748	-0.3748	-0.37812	0.37812	-1.0238	1.0238	-1.0261	1.0261	-1.0895	1.0895	1.1009	-1.1009	-1.1903	1.1903	-1.223	1.223	1.2467	-1.2467	-1.3066	1.3066	1.342	-1.342	1.3671	-1.3671	1.3799	-1.3799	1.4138	-1.4138	1.4455	-1.4455	-1.4534	1.4534	1.5151	-1.5151	
0	-0.74	0.39389	-0.39389	0.39654	-0.39654	-0.40293	0.40293	0.40338	-0.40338	-0.40394	0.40394	-1.0238	1.0238	-1.0261	1.0261	1.0895	-1.0895	1.101	-1.101	-1.1901	1.1901	-1.2231	1.2231	-1.2464	1.2464	1.3065	-1.3065	-1.3423	1.3423	1.3674	-1.3674	1.3795	-1.3795	-1.4132	1.4132	-1.4449	1.4449	-1.453	1.453	1.5154	-1.5154	
0	-0.72	0.42232	-0.42232	0.42501	-0.42501	0.42971	-0.42971	-0.43116	0.43116	-0.43166	0.43166	-1.0238	1.0238	-1.0261	1.0261	1.0894	-1.0894	1.1011	-1.1011	-1.1899	1.1899	-1.2233	1.2233	1.2461	-1.2461	1.3063	-1.3063	-1.3427	1.3427	1.3678	-1.3678	1.379	-1.379	-1.4125	1.4125	-1.4443	1.4443	-1.4526	1.4526	1.5158	-1.5158	
